GPST,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2022/05/05 15:44:41.000,35.154436739,-2.905543851,56.1856,2,6,0.7917,0.7786,2.3643,0.5707,0.2409,-1.2062,-0.00,0.0
2022/05/05 15:44:42.000,35.154437633,-2.905546038,55.5769,2,6,0.8159,0.7855,2.4514,0.5791,0.2147,-1.2557,-0.00,0.0
2022/05/05 15:44:43.000,35.154429259,-2.905536937,56.2063,2,5,1.1092,0.9821,2.7570,-0.1034,-0.6516,-1.0964,-0.00,0.0
2022/05/05 15:44:44.000,35.154431614,-2.905530806,55.7003,2,4,1.0142,1.0029,2.5838,-0.2742,-0.1820,-1.0020,-0.00,0.0
2022/05/05 15:44:45.000,35.154439408,-2.905535957,55.3324,2,5,0.8344,1.1654,2.4103,0.7713,0.8491,-1.0575,-0.00,0.0
2022/05/05 15:44:46.000,35.154420567,-2.905498214,52.7134,2,4,1.3974,2.1347,3.2076,-0.6214,1.2502,-1.3863,-0.00,0.0
2022/05/05 15:44:48.000,35.154419741,-2.905477593,54.8874,2,4,1.6517,2.4601,4.8402,-1.1340,1.9865,-2.1862,-0.00,0.0
2022/05/05 15:44:57.000,35.154449084,-2.905533232,50.9270,2,5,1.3528,0.5974,1.3678,-0.6869,0.4378,-0.9891,-0.00,0.0
2022/05/05 15:44:58.000,35.154444045,-2.905534117,51.8872,2,5,0.4702,0.4274,1.3318,0.3139,-0.1575,-0.6748,-0.00,0.0
2022/05/05 15:44:59.000,35.154444527,-2.905531906,51.5419,2,6,0.5418,0.4955,1.3864,0.4088,-0.3710,-0.7561,-0.00,0.0
2022/05/05 15:45:00.000,35.154440641,-2.905536084,52.1693,2,6,0.4411,0.3954,1.2914,0.2694,0.1268,-0.6424,-0.00,0.0
2022/05/05 15:45:01.000,35.154438863,-2.905538593,52.7526,2,6,0.4955,0.4538,1.3349,0.3509,-0.2495,-0.7001,-0.00,0.0
2022/05/05 15:45:02.000,35.154440324,-2.905537725,51.9129,2,6,0.4123,0.3689,1.2617,0.2238,0.2347,-0.6083,-0.00,0.0
2022/05/05 15:45:03.000,35.154440741,-2.905535863,51.7075,2,6,0.4034,0.3617,1.2600,0.2068,0.2629,-0.6003,-0.00,0.0
2022/05/05 15:45:04.000,35.154434463,-2.905533414,52.1673,2,6,0.4313,0.3659,1.4326,0.1831,0.3298,-0.6819,-0.00,0.0
2022/05/05 15:45:05.000,35.154429288,-2.905530908,52.7618,2,5,0.4221,0.4068,1.3410,0.2291,0.3290,-0.6289,-0.00,0.0
2022/05/05 15:45:06.000,35.154427329,-2.905528157,52.6717,2,6,0.4739,0.3666,1.6050,0.1800,0.3375,-0.7791,-0.00,0.0
2022/05/05 15:45:07.000,35.154426606,-2.905528953,53.0819,2,6,0.4206,0.3901,1.4836,0.1478,0.4364,-0.6764,-0.00,0.0
2022/05/05 15:45:08.000,35.154423848,-2.905531390,52.2534,2,5,0.4206,0.4148,1.5355,0.1348,0.4971,-0.6827,-0.00,0.0
2022/05/05 15:45:09.000,35.154421392,-2.905529295,52.2768,2,5,0.4267,0.3977,1.5288,0.1335,0.4635,-0.6954,-0.00,0.0
2022/05/05 15:45:10.000,35.154418879,-2.905525627,52.1384,2,5,0.4179,0.3593,1.3585,0.1841,0.3050,-0.6492,-0.00,0.0
2022/05/05 15:45:11.000,35.154416739,-2.905526395,52.0722,2,5,0.4088,0.3495,1.2666,0.2031,0.2276,-0.6155,-0.00,0.0
2022/05/05 15:45:12.000,35.154414239,-2.905524550,51.6263,2,5,0.4060,0.3422,1.2257,0.2108,0.1726,-0.6032,-0.00,0.0
2022/05/05 15:45:13.000,35.154412836,-2.905522061,51.8863,2,5,0.4119,0.3424,1.2514,0.2107,0.1731,-0.6176,-0.00,0.0
2022/05/05 15:45:14.000,35.154408371,-2.905517564,52.9107,2,5,0.5142,0.3711,1.6960,0.2168,0.2539,-0.8490,-0.00,0.0
2022/05/05 15:45:15.000,35.154405575,-2.905517338,52.4500,2,6,0.4540,0.3604,1.3742,0.2405,0.0804,-0.6964,-0.00,0.0
2022/05/05 15:45:16.000,35.154397640,-2.905519227,51.5704,2,5,0.6266,0.4562,1.5777,0.4280,-0.5071,-0.8353,-0.00,0.0
2022/05/05 15:45:17.000,35.154400003,-2.905516768,52.8670,2,6,0.5530,0.4790,1.3611,0.4144,-0.4322,-0.7708,-0.00,0.0
2022/05/05 15:45:18.000,35.154395040,-2.905521783,53.6292,2,6,0.5293,0.4349,1.3739,0.3694,-0.3838,-0.7611,-0.00,0.0
2022/05/05 15:45:19.000,35.154391163,-2.905522995,53.8097,2,6,0.5451,0.4252,1.4963,0.3553,-0.3594,-0.8151,-0.00,0.0
2022/05/05 15:45:20.000,35.154387613,-2.905521652,53.6419,2,6,0.5388,0.4652,1.5288,0.3521,-0.2142,-0.8023,-0.00,0.0
2022/05/05 15:45:21.000,35.154384817,-2.905512075,54.9442,2,6,0.7383,0.9353,1.7446,0.6976,0.2107,-0.8884,-0.00,0.0
2022/05/05 15:45:22.000,35.154383307,-2.905505685,54.2933,2,5,0.6412,0.6897,1.8956,0.4670,0.4110,-0.9335,-0.00,0.0
2022/05/05 15:45:23.000,35.154379474,-2.905499496,53.7595,2,6,0.5854,0.6542,1.5986,0.4632,0.2813,-0.7967,-0.00,0.0
2022/05/05 15:45:24.000,35.154376173,-2.905496898,52.8722,2,6,0.5968,0.6461,1.6170,0.4698,0.1782,-0.8219,-0.00,0.0
2022/05/05 15:45:25.000,35.154370178,-2.905494179,53.4929,2,6,0.6770,0.7711,1.6436,0.5941,-0.2568,-0.8714,-0.00,0.0
2022/05/05 15:45:26.000,35.154359682,-2.905494701,54.8206,2,6,0.7597,0.6589,2.1269,0.5356,-0.4113,-1.1520,-0.00,0.0
2022/05/05 15:45:27.000,35.154351259,-2.905489134,56.2440,2,6,0.8464,0.6600,2.4853,0.5422,-0.4404,-1.3445,-0.00,0.0
2022/05/05 15:45:28.000,35.154348395,-2.905483037,55.8749,2,5,0.7757,0.8193,2.2406,0.5871,0.3564,-1.1363,-0.00,0.0
2022/05/05 15:45:29.000,35.154349273,-2.905473737,54.2809,2,6,0.5985,0.5234,1.8494,0.3522,0.2680,-0.9396,-0.00,0.0
2022/05/05 15:45:30.000,35.154347206,-2.905476768,53.5652,2,6,0.5925,0.5040,1.8423,0.3385,0.2533,-0.9373,-0.00,0.0
2022/05/05 15:45:31.000,35.154346773,-2.905476839,52.6721,2,5,0.5777,0.5002,1.7470,0.3477,0.1803,-0.8960,-0.00,0.0
2022/05/05 15:45:32.000,35.154346585,-2.905475594,52.4346,2,6,0.5873,0.5012,1.7891,0.3481,0.1817,-0.9183,-0.00,0.0
2022/05/05 15:45:33.000,35.154347574,-2.905474895,51.9799,2,5,0.5867,0.5143,1.7342,0.3717,0.0221,-0.8982,-0.00,0.0
2022/05/05 15:45:34.000,35.154337830,-2.905484883,53.0834,2,5,0.7024,0.8634,1.7788,0.6293,0.3138,-0.8904,-0.00,0.0
2022/05/05 15:45:35.000,35.154325208,-2.905491033,53.6737,2,5,0.9281,1.1720,2.6943,0.7929,0.7750,-1.2756,-0.00,0.0
