GPST,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2022/05/05 15:44:41.000,35.154425034,-2.905566984,40.1033,6,5,5.0057,3.3944,9.5278,0.7219,-1.0099,-4.2913,0.00,0.0
2022/05/05 15:44:42.000,35.154412656,-2.905554081,36.0765,6,6,4.0030,2.6345,7.6517,0.7202,0.4992,-3.5722,0.00,0.0
2022/05/05 15:44:43.000,35.154408802,-2.905541444,35.5207,6,6,3.8715,2.5174,7.3404,0.6553,0.4263,-3.4002,0.00,0.0
2022/05/05 15:44:44.000,35.154411933,-2.905539600,34.2793,6,6,3.7665,2.4076,7.2073,0.6645,-0.1369,-3.3141,0.00,0.0
2022/05/05 15:44:45.000,35.154411228,-2.905541935,32.3234,6,6,3.7086,2.3515,7.1077,0.6565,-0.4224,-3.2799,0.00,0.0
2022/05/05 15:44:46.000,35.154409402,-2.905543099,31.5801,6,6,3.6586,2.3190,7.0164,0.6493,-0.4858,-3.2349,0.00,0.0
2022/05/05 15:44:47.000,35.154406847,-2.905540953,31.8970,6,6,3.6255,2.3022,6.9427,0.6508,-0.5344,-3.1943,0.00,0.0
2022/05/05 15:44:48.000,35.154407778,-2.905536703,33.6118,6,6,3.6121,2.2949,6.9021,0.6503,-0.6337,-3.1399,0.00,0.0
2022/05/05 15:44:49.000,35.154408239,-2.905537347,35.6665,6,5,3.7312,2.3386,7.1096,-0.0724,-1.1794,-2.8105,0.00,0.0
2022/05/05 15:44:50.000,35.154395973,-2.905533474,34.5125,6,6,3.6278,2.2992,6.8660,0.6380,-0.8511,-3.0832,0.00,0.0
2022/05/05 15:44:51.000,35.154394411,-2.905535794,33.7590,6,6,3.6164,2.2979,6.8330,0.7213,-0.7397,-3.1791,0.00,0.0
2022/05/05 15:44:52.000,35.154397846,-2.905532428,32.4413,6,6,3.6604,2.3829,6.9887,0.6250,0.3942,-3.2905,0.00,0.0
2022/05/05 15:44:53.000,35.154409689,-2.905530361,28.3604,6,6,3.6844,2.3362,7.0184,0.9262,-0.8452,-3.3545,0.00,0.0
